n,algoritmo,repetición,distancia,tiempo_segundos
45,PATH_CHEAPEST_ARC,2,556.5577897939844,0.027095317840576172
45,PATH_CHEAPEST_ARC,3,530.1236715031541,0.03700089454650879
45,PATH_CHEAPEST_ARC,4,530.0789440103406,0.018300771713256836
45,PATH_CHEAPEST_ARC,5,546.3981372871768,0.02274465560913086
45,PATH_CHEAPEST_ARC,6,537.0936381779667,0.025519609451293945
45,PATH_CHEAPEST_ARC,7,553.8482909981875,0.021536827087402344
45,PATH_CHEAPEST_ARC,8,549.0650640824497,0.026621103286743164
45,PATH_CHEAPEST_ARC,9,520.2426798138977,0.019712448120117188
45,PATH_CHEAPEST_ARC,10,526.4211095010202,0.023517370223999023
45,SAVINGS,1,535.2911784674639,0.02220439910888672
45,SAVINGS,2,567.2341984182057,0.032195329666137695
45,SAVINGS,3,541.7252992329397,0.019290447235107422
45,SAVINGS,4,513.4304131664068,0.025098323822021484
45,SAVINGS,5,549.6438622831809,0.021462440490722656
45,SAVINGS,6,565.7149486631699,0.020489931106567383
45,SAVINGS,7,588.430075934141,0.020338058471679688
45,SAVINGS,8,570.7712428018733,0.037351369857788086
45,SAVINGS,9,567.0816762991353,0.0193479061126709
45,SAVINGS,10,500.63421428620114,0.019821643829345703
45,CHRISTOFIDES,1,553.659530041206,0.025456905364990234
45,CHRISTOFIDES,2,508.10786084764715,0.020087480545043945
45,CHRISTOFIDES,3,508.6769522085067,0.020424365997314453
45,CHRISTOFIDES,4,562.2214306477869,0.017426252365112305
45,CHRISTOFIDES,5,490.5864456573235,0.01996636390686035
45,CHRISTOFIDES,6,589.6525727944163,0.032132863998413086
45,CHRISTOFIDES,7,564.9142058053443,0.01967644691467285
45,CHRISTOFIDES,8,553.0317083565187,0.01968693733215332
45,CHRISTOFIDES,9,486.1206894422696,0.01780247688293457
45,CHRISTOFIDES,10,525.3829689084909,0.017655372619628906
50,PATH_CHEAPEST_ARC,1,574.8337006792302,0.03488659858703613
50,PATH_CHEAPEST_ARC,2,569.0855746529866,0.033953189849853516
50,PATH_CHEAPEST_ARC,3,554.1442362563893,0.04806876182556152
50,PATH_CHEAPEST_ARC,4,628.2377037702809,0.025821447372436523
50,PATH_CHEAPEST_ARC,5,658.109212496475,0.030484914779663086
50,PATH_CHEAPEST_ARC,6,603.5157986193728,0.04146146774291992
50,PATH_CHEAPEST_ARC,7,567.9370226870773,0.04022407531738281
50,PATH_CHEAPEST_ARC,8,621.7085184147005,0.04103708267211914
